source,target,weight
11,9,6.688292144600876e-5
11,10,6.688292144600876e-5
11,12,6.688292144600876e-5
11,13,6.688292144600876e-5
11,14,6.688292144600876e-5
11,15,6.688292144600876e-5
11,16,6.688292144600876e-5
11,17,0.011035682038591446
11,18,6.688292144600876e-5
12,1,3.344146072300438e-5
12,2,6.688292144600876e-5
12,3,3.344146072300438e-5
12,4,1.337658428920175e-4
12,5,1.337658428920175e-4
12,6,3.344146072300438e-5
12,7,3.344146072300438e-5
12,8,6.688292144600876e-5
12,9,3.344146072300438e-5
12,10,3.344146072300438e-5
12,11,6.688292144600876e-5
12,13,3.344146072300438e-5
12,14,6.688292144600876e-5
12,15,6.688292144600876e-5
12,16,6.688292144600876e-5
12,17,0.011035682038591446
12,18,3.344146072300438e-5
13,1,3.344146072300438e-5
13,2,6.688292144600876e-5
13,3,3.344146072300438e-5
13,4,1.337658428920175e-4
13,5,1.337658428920175e-4
13,6,3.344146072300438e-5
13,7,3.344146072300438e-5
13,8,6.688292144600876e-5
13,9,3.344146072300438e-5
13,10,3.344146072300438e-5
13,11,6.688292144600876e-5
13,12,3.344146072300438e-5
13,14,6.688292144600876e-5
13,15,6.688292144600876e-5
13,16,6.688292144600876e-5
13,17,0.011035682038591446
13,18,3.344146072300438e-5
14,1,6.688292144600876e-5
14,2,6.688292144600876e-5
14,3,6.688292144600876e-5
14,4,1.337658428920175e-4
14,5,1.337658428920175e-4
14,6,6.688292144600876e-5
14,7,6.688292144600876e-5
14,8,6.688292144600876e-5
14,9,6.688292144600876e-5
14,10,6.688292144600876e-5
14,11,6.688292144600876e-5
14,12,6.688292144600876e-5
14,13,6.688292144600876e-5
14,15,6.688292144600876e-5
14,16,6.688292144600876e-5
14,17,0.011035682038591446
14,18,6.688292144600876e-5
15,1,6.688292144600876e-5
15,2,6.688292144600876e-5
15,3,6.688292144600876e-5
15,4,1.337658428920175e-4
15,5,1.337658428920175e-4
15,6,6.688292144600876e-5
15,7,6.688292144600876e-5
15,8,6.688292144600876e-5
15,9,6.688292144600876e-5
15,10,6.688292144600876e-5
15,11,6.688292144600876e-5
15,12,6.688292144600876e-5
15,13,6.688292144600876e-5
15,14,6.688292144600876e-5
15,16,6.688292144600876e-5
15,17,0.011035682038591446
15,18,6.688292144600876e-5
16,1,6.688292144600876e-5
16,2,6.688292144600876e-5
16,3,6.688292144600876e-5
16,4,1.337658428920175e-4
16,5,1.337658428920175e-4
16,6,6.688292144600876e-5
16,7,6.688292144600876e-5
16,8,6.688292144600876e-5
16,9,6.688292144600876e-5
16,10,6.688292144600876e-5
16,11,6.688292144600876e-5
16,12,6.688292144600876e-5
16,13,6.688292144600876e-5
16,14,6.688292144600876e-5
16,15,6.688292144600876e-5
16,17,0.011035682038591446
16,18,6.688292144600876e-5
17,1,0.011035682038591446
17,2,0.011035682038591446
17,3,0.011035682038591446
17,4,0.011035682038591446
17,5,0.011035682038591446
17,6,0.011035682038591446
17,7,0.011035682038591446
17,8,0.011035682038591446
17,9,0.011035682038591446
17,10,0.011035682038591446
17,11,0.011035682038591446
17,12,0.011035682038591446
17,13,0.011035682038591446
17,14,0.011035682038591446
17,15,0.011035682038591446
17,16,0.011035682038591446
17,18,0.011035682038591446
18,1,3.344146072300438e-5
18,2,6.688292144600876e-5
18,3,3.344146072300438e-5
18,4,1.337658428920175e-4
18,5,1.337658428920175e-4
18,6,3.344146072300438e-5
18,7,3.344146072300438e-5
18,8,6.688292144600876e-5
18,9,3.344146072300438e-5
18,10,3.344146072300438e-5
18,11,6.688292144600876e-5
18,12,3.344146072300438e-5
18,13,3.344146072300438e-5
18,14,6.688292144600876e-5
18,15,6.688292144600876e-5
18,16,6.688292144600876e-5
18,17,0.011035682038591446
